ÐòºÅ,ZM1,í²M1,ZX,í²X,ZM2,í²M2,M2/M1,Cu plat,C black,Cu mesh,GC,C paper,Ti,e-DEP,HT,RED,DEP,wire,block,DEN,coral,particle,HEX,size,CONC,V,FE
1,29,1.9,8,3.44,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.4,41.5
2,29,1.9,8,3.44,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.5,42.5
3,29,1.9,8,3.44,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.6,39.2
4,29,1.9,8,3.44,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.7,32.1
5,29,1.9,8,3.44,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.8,26.3
6,29,1.9,8,3.44,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.9,20
7,29,1.9,8,3.44,47,1.93,0.0051,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.4,33.5
8,29,1.9,8,3.44,47,1.93,0.0051,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.5,59.5
9,29,1.9,8,3.44,47,1.93,0.0051,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.6,72.1
10,29,1.9,8,3.44,47,1.93,0.0051,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.7,73.9
11,29,1.9,8,3.44,47,1.93,0.0051,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.8,78.5
12,29,1.9,8,3.44,47,1.93,0.0051,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.9,74.5
13,29,1.9,8,3.44,47,1.93,0.0075,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.4,42
14,29,1.9,8,3.44,47,1.93,0.0075,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.5,66.5
15,29,1.9,8,3.44,47,1.93,0.0075,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.6,83.5
16,29,1.9,8,3.44,47,1.93,0.0075,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.7,91.2
17,29,1.9,8,3.44,47,1.93,0.0075,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.8,87.8
18,29,1.9,8,3.44,47,1.93,0.0075,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.9,86.7
19,29,1.9,8,3.44,47,1.93,0.0116,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.4,46.5
20,29,1.9,8,3.44,47,1.93,0.0116,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.5,68.2
21,29,1.9,8,3.44,47,1.93,0.0116,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.6,80.5
22,29,1.9,8,3.44,47,1.93,0.0116,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.7,85.6
23,29,1.9,8,3.44,47,1.93,0.0116,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.8,79.8
24,29,1.9,8,3.44,47,1.93,0.0116,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5,0.1,-0.9,77.3
25,28,1.91,7,3.04,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,25,0.1,-0.6,1.2
26,28,1.91,7,3.04,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,25,0.1,-0.7,2
27,28,1.91,7,3.04,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,25,0.1,-0.8,8.3
28,28,1.91,7,3.04,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,25,0.1,-0.9,17
29,28,1.91,7,3.04,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,25,0.1,-1,23.5
30,28,1.91,7,3.04,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,25,0.1,-1.1,23
31,28,1.91,7,3.04,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,25,0.1,-1.2,21
32,29,1.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1,-0.6,0.97
33,29,1.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1,-0.7,1.2
34,29,1.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1,-0.8,2.2
35,29,1.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1,-0.9,2.46
36,29,1.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1,-1,4.7
37,29,1.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1,-1.1,2.3
38,29,1.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1,-1.2,0.88
39,28,1.91,7,3.04,29,1.9,0.24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,12.5,0.1,-0.6,1.2
40,28,1.91,7,3.04,29,1.9,0.24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,12.5,0.1,-0.7,15
41,28,1.91,7,3.04,29,1.9,0.24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,12.5,0.1,-0.8,51.3
42,28,1.91,7,3.04,29,1.9,0.24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,12.5,0.1,-0.9,66
43,28,1.91,7,3.04,29,1.9,0.24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,12.5,0.1,-1,88.5
44,28,1.91,7,3.04,29,1.9,0.24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,12.5,0.1,-1.1,70
45,28,1.91,7,3.04,29,1.9,0.24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,12.5,0.1,-1.2,51
46,28,1.91,7,3.04,29,1.9,0.46,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,10,0.1,-0.6,0.1
47,28,1.91,7,3.04,29,1.9,0.46,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,10,0.1,-0.7,2.5
48,28,1.91,7,3.04,29,1.9,0.46,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,10,0.1,-0.8,27
49,28,1.91,7,3.04,29,1.9,0.46,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,10,0.1,-0.9,54.2
50,28,1.91,7,3.04,29,1.9,0.46,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,10,0.1,-1,68.8
51,28,1.91,7,3.04,29,1.9,0.46,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,10,0.1,-1.1,61.5
52,28,1.91,7,3.04,29,1.9,0.46,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,10,0.1,-1.2,57
53,28,1.91,7,3.04,29,1.9,0.95,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5,0.1,-0.6,0.2
54,28,1.91,7,3.04,29,1.9,0.95,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5,0.1,-0.7,1.2
55,28,1.91,7,3.04,29,1.9,0.95,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5,0.1,-0.8,8.2
56,28,1.91,7,3.04,29,1.9,0.95,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5,0.1,-0.9,21
57,28,1.91,7,3.04,29,1.9,0.95,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5,0.1,-1,33.5
58,28,1.91,7,3.04,29,1.9,0.95,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5,0.1,-1.1,26
59,28,1.91,7,3.04,29,1.9,0.95,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5,0.1,-1.2,15.8
60,29,1.9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.7,39.1
61,29,1.9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.8,39.3
62,29,1.9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.9,28.9
63,29,1.9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-1,17.3
64,50,1.96,0,0,29,1.9,0.0526,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.6,90.4
65,50,1.96,0,0,29,1.9,0.0526,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.7,98
66,50,1.96,0,0,29,1.9,0.0526,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.8,92.6
67,50,1.96,0,0,29,1.9,0.0526,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.9,77.7
68,50,1.96,0,0,29,1.9,0.0526,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-1,64.2
69,50,1.96,0,0,29,1.9,0.1111,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.6,69.14
70,50,1.96,0,0,29,1.9,0.1111,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.7,62.42
71,50,1.96,0,0,29,1.9,0.1111,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.8,44.59
72,50,1.96,0,0,29,1.9,0.1111,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.9,32.75
73,50,1.96,0,0,29,1.9,0.1111,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-1,30.76
74,50,1.96,0,0,29,1.9,0.25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.6,40.6
75,50,1.96,0,0,29,1.9,0.25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.7,34.25
76,50,1.96,0,0,29,1.9,0.25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.8,25.47
77,50,1.96,0,0,29,1.9,0.25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.9,24.29
78,50,1.96,0,0,29,1.9,0.25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-1,21.08
79,50,1.96,0,0,29,1.9,0.0309,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.4,78.2
80,50,1.96,0,0,29,1.9,0.0309,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.5,89.5
81,50,1.96,0,0,29,1.9,0.0309,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.6,89.9
82,50,1.96,0,0,29,1.9,0.0309,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.7,96.7
83,50,1.96,0,0,29,1.9,0.0309,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.8,96.2
84,50,1.96,0,0,29,1.9,0.0309,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.9,91.8
85,50,1.96,0,0,29,1.9,0.0309,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-1,82.8
86,50,1.96,0,0,29,1.9,0.4292,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.6,16.6
87,50,1.96,0,0,29,1.9,0.4292,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0.5,-0.7,12.9
